# Part A: Complete Exercise Database (Gym Equipment)

Below is an exhaustive list of the top exercises for each muscle group, with details on muscles targeted, equipment, technique, common errors, cues, goals, and recommended sets/reps/rest by level. **Tables summarize the main programming data (sets–reps–rest) and key notes;** accompanying bullet lists give step-by-step execution, mistakes, and cues. 

### Latissimus Dorsi (Back Width, V-Taper)

| Exercise               | Equipment           | Sets (Beg/Int/Adv)     | Reps (Beg/Int/Adv)    | Rest    | Notes (Primary/Secondary, Goals, Cues)                                              |
| **Incline Dumbbell Curl** | Dumbbells       | 2 / 2 / 3      | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Biceps long head (outer biceps). Per [63], incline curls highly activate long head (biceps peak). Sit on incline bench, curl arms. Cue: “Keep elbows back, full stretch.” Good for peak. |
| **Concentration Curl** | Dumbbell (seated)    | 2 / 3 / 4      | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Biceps (both heads, emphasis on long head). Sit, elbow on inner thigh, curl DB. Cue: “Pull with elbow, squeeze at top.” Strict form isolates biceps, great mind-muscle connection. |
| **Cable Curl (Wide Grip)** | Cable machine   | 2 / 3 / 3      | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Biceps short head (inner). Use a wide grip bar on low pulley. Cue: “Keep elbows close, curl up.” Targets width. |
| **Chin-Up (Underhand)** | Pull-up bar        | 2 / 3 / 4      | 5–8 / 6–10 / 6–10  | 90 s  | *Primary:* Biceps (all heads) and lats. (See lat section.) Emphasize biceps by pulling elbows down. Cue: “Lead with chest.” Great compound arm/back movement. |
| **Zottman Curl**       | Dumbbells           | 2 / 3 / 3      | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Biceps (both heads) and forearms. Curl up supinated, then lower palms down. Cue: “Rotate at top, slow descent.” Builds overall arm thickness. |

### Brachialis & Brachioradialis (Arm Thickness)

| Exercise               | Equipment         | Sets (B/I/A)   | Reps (B/I/A)    | Rest  | Notes (Primary/Secondary, Goals, Cues)                                                      |
|------------------------|-------------------|----------------|-----------------|-------|---------------------------------------------------------------------------------------------|
| **Hammer Curl**        | Dumbbells         | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Brachialis & brachioradialis. (See above biceps table.) Great for sleeve-filling. |
| **Reverse Grip Curl**  | Barbell or EZ-bar | 2 / 3 / 3      | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Brachialis (prime) & brachioradialis; *Secondary:* biceps short head. Grip bar pronated (palms down) and curl. Cue: “Keep elbows fixed, lift with forearms.” Strengthens forearm flexors and thickens upper arm. |
| **Reverse Curl (Cable or Bar)** | Cable/bell | 2 / 3 / 4 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Brachialis & brachioradialis. Similar to above, using cable for constant tension. |
| **Wrist Curl (Supinated & Pronated)** | Barbell/db | 2 / 2 / 3    | 12–15 / 15–20 / 15–20 | 45 s | *Primary:* Forearms. Sit forearms on bench, curl wrists up (palm-up) and/or down (palm-down). Builds overall forearm muscle (brachioradialis contributes at elbow flex). |
| **Farmer’s Walk**      | Dumbbells or Trap Bar | 2 / 3 / 4   | 30–60 s walks   | –     | *Primary:* Grip and forearms. (See traps table.) Holding heavy weights taxes forearm muscles isometrically. Cue: “Grip tight, shoulders back.” Simple but very effective. |

### Quadriceps (4 Heads: Rectus Femoris, Vastus Lateralis/Medialis/Intermedius)

| Exercise               | Equipment           | Sets (B/I/A)   | Reps (B/I/A)    | Rest   | Notes (Primary/Secondary, Goals, Cues)                                                   |
|------------------------|---------------------|----------------|-----------------|--------|------------------------------------------------------------------------------------------|
| **Barbell Back Squat** | Barbell, rack       | 2 / 3 / 4      | 8–12 / 6–10 / 4–8 | 120 s | *Primary:* Quadriceps (all heads); *Secondary:* glutes, hamstrings. Standard for leg strength/mass. Cue: “Chest up, push through heels, knees tracking toes.” Mistakes: knees caving, rounding back. Fundamental lower-body exercise. |
| **Front Squat**        | Barbell             | 2 / 3 / 3      | 6–10 / 6–10 / 4–8  | 120 s | *Primary:* Quadriceps (more emphasis on quads than back squat). Keep elbows up. Cue: “Drive elbows up to hold bar.” Engages core, easier on back. |
| **Leg Press**          | Leg press machine   | 2 / 3 / 4      | 10–15 / 10–15 / 8–12 | 90 s | *Primary:* Quadriceps; *Secondary:* glutes, hamstrings. Cue: “Push with whole foot, control descent.” Keep hips down. Good for heavy quad loading safely. |
| **Bulgarian Split Squat** | Barbell or DB    | 2 / 3 / 4      | 8–12 each leg / 8–12 / 6–10  | 90 s | *Primary:* Quadriceps; *Secondary:* glutes. One foot elevated behind on bench. Cue: “Knee forward over toes, drop straight down.” Challenges balance and single-leg strength. |
| **Goblet Squat**      | Dumbbell or Kettlebell | 2 / 3 / 4     | 10–15 / 12–15 / 8–12 | 60–90 s | *Primary:* Quads; *Secondary:* glutes, core. Hold weight at chest. Cue: “Sit back between knees, keep chest tall.” Good for beginners to learn squat form. |
| **Walking Lunges**    | Dumbbells/barbell    | 2 / 3 / 4      | 10–12 steps / 10–12 / 8–10 | 60–90 s | *Primary:* Quads; *Secondary:* glutes, hamstrings. Step forward lunge repeatedly. Cue: “Step far enough that knee stays above ankle.” Great functional leg exercise. |
| **Leg Extension**     | Leg extension machine | 2 / 3 / 4    | 10–15 / 12–15 / 8–12  | 60 s  | *Primary:* Quadriceps isolation. Sit and extend knees. Cue: “Fully extend and squeeze quads.” Avoid locking knees or using momentum. Finishes quad workout. |
| **Step-Up (High Box)** | Box or bench       | 2 / 3 / 3      | 10–12 each leg / 10–12 / 8–10 | 60 s | *Primary:* Quads, glutes; *Secondary:* hamstrings. Drive up onto box leading with one leg. Cue: “Push through heel of front foot.” Adds stability and balance training. |
| **Sissy Squat**       | Bodyweight (or using support) | 2 / 2 / 3  | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Quadriceps (VMO emphasis). Lean back with knees forward, then return. Cue: “Keep torso straight, bend knees deeply.” Advanced quad finisher; do carefully to avoid knee stress. |

### Hamstrings

| Exercise               | Equipment           | Sets (B/I/A)   | Reps (B/I/A)    | Rest  | Notes (Primary/Secondary, Goals, Cues)                                                 |
|------------------------|---------------------|----------------|-----------------|-------|---------------------------------------------------------------------------------------|
| **Romanian Deadlift**  | Barbell             | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Hamstrings, glutes; *Secondary:* lower back. From standing, hinge at hips lowering bar to knees or mid-shin. Cue: “Push hips back, keep spine neutral.” Only slight knee bend. (*Mistakes:* rounding back, knees too bent.) Heavy hamstring-strengthener. |
| **Leg Curl (Lying or Seated)** | Leg curl machine | 2 / 3 / 4 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Hamstrings. Lying: lie face down, curl heels to glutes. Seated: sit, curl calves back. Cue: “Squeeze hamstrings, control extension.” Isolation for hamstring hypertrophy. |
| **Glute-Ham Raise**    | Glute-ham bench    | 2 / 3 / 3      | 6–10 / 6–10 / 5–8  | 90 s | *Primary:* Hamstrings and glutes. Anchor feet, lower torso to floor slowly, then raise back up using hamstrings. Cue: “Use hamstrings to pull up, keep back straight.” Very challenging; start with assistance/bands. |
| **Nordic Ham Curl**    | (Pads or held at ankles) | 2 / 2 / 3  | 6–8 / 6–10 / 5–8 | 90 s | *Primary:* Hamstrings. Kneel, ankles anchored, slowly lower chest to ground (eccentric), push up. Cue: “Go slowly, catch yourself mid-low.” Extremely intense eccentric; use assistance as needed. |
| **Cable Pull-Through** | Low cable, rope    | 2 / 3 / 4      | 10–12 / 10–12 / 8–10 | 60 s | *Primary:* Hamstrings, glutes. Stand facing away, rope between legs, hinge hips to pull handle through. Cue: “Push hips back, squeeze glutes as you stand.” Mimics hip thrust motion with constant tension. |
| **Good Morning**       | Barbell           | 2 / 3 / 3      | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Hamstrings (and spinal erectors). Bar on back, hinge at hips lowering torso forward. Cue: “Push hips back, keep lower back flat.” Use light weight initially. Great hip-hinge variation. |
| **Kettlebell Swing**   | Kettlebell         | 2 / 3 / 4      | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Hamstrings, glutes; *Secondary:* back, core. Swing KB from between legs up to chest level with hip drive. Cue: “Snap hips, contract glutes at top.” Also a conditioning movement. |

### Gluteus Maximus (Glutes)

| Exercise               | Equipment       | Sets (B/I/A)   | Reps (B/I/A)    | Rest   | Notes (Primary/Secondary, Goals, Cues)                                                |
|------------------------|-----------------|----------------|-----------------|--------|---------------------------------------------------------------------------------------|
| **Barbell Back Squat** | Barbell, rack   | 2 / 3 / 4      | 8–12 / 6–10 / 4–8 | 120 s | *Primary:* Glutes (and quads). (See squat above.) Depth loads glutes. Cue: “Sit back as if onto a chair.”  |
| **Deadlift (Conventional/Sumo)** | Barbell | 2 / 3 / 3   | 5–8 / 5–8 / 3–5 | 120–180 s | *Primary:* Glutes (and hamstrings). Sumo stance stresses glutes. Cue: “Drive hips forward at top.” Build strength/power; however, also thickens core (skip for taper). |
| **Hip Thrust**         | Barbell, bench  | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Glutes (with hip extension); *Secondary:* hamstrings. Upper back on bench, barbell across hips. Thrust hips up fully. Cue: “Drive through heels, squeeze glutes at top.” (*Mistakes:* overextending low back). Best pure glute growth exercise. |
| **Bulgarian Split Squat** | DBs or bar   | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90 s | *Secondary:* Glutes (primary quads). (As above in quads section.) Emphasize pushing up with front leg glutes. |
| **Glute Bridge (Weighted)** | Barbell/Dumbbell on hips | 2 / 3 / 3 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Glutes. Lying on back, knees bent, thrust hips up with weight on pelvis. Cue: “Press through heels, lift hips.” Good beginner glute exercise. |
| **Step-Up**           | Box/bench + DBs  | 2 / 3 / 3      | 10–12 / 10–12 / 8–10 | 60 s | *Secondary:* Glutes (primary quads). (See quads). Focus on driving with glute of lead leg. |
| **Cable Pull-Through** | Cable, rope    | 2 / 3 / 3      | 10–15 / 10–15 / 8–12 | 60 s | *Secondary:* Glutes (primary hamstrings). (See hamstrings). Good hip-thrust alternative. |
| **Kettlebell Swing**   | Kettlebell     | 2 / 3 / 4      | 10–15 / 10–15 / 8–12 | 60 s | *Secondary:* Glutes. (See hamstrings.) Strong hip extension also targets glutes. |

### Calves (Gastrocnemius & Soleus)

| Exercise              | Equipment           | Sets (B/I/A)   | Reps (B/I/A)   | Rest  | Notes (Primary/Secondary, Goals, Cues)                                                               |
|-----------------------|---------------------|----------------|----------------|-------|------------------------------------------------------------------------------------------------------|
| **Standing Calf Raise** | Smith machine or machine | 3 / 4 / 4   | 10–15 / 12–20 / 12–20 | 60 s | *Primary:* Gastrocnemius (foot extended). Stand with balls of feet on step/rack, lift heels. Cue: “Push through big toe, hold top.” Deep stretch at bottom. |
| **Seated Calf Raise**   | Seated calf machine or seated with weight | 3 / 3 / 4 | 12–15 / 15–20 / 15–20 | 60 s | *Primary:* Soleus (foot bent). Sitting with weight on knees, lift heels. Cue: “Push through heels.” Focuses on lower calf head. |
| **Donkey Calf Raise**  | Machine or partner-assisted | 3 / 3 / 4 | 10–15 / 12–20 / 12–20 | 60 s | *Primary:* Gastrocnemius. Bend at hips with weight on lower back, lift heels. Cue: “Press up onto toes fully.” Heavy version of calf raise. |
| **Jump Rope (Various Paces)** | Jump rope | 1 / 1 / 1     | 60 s / 60 s / 60 s | –     | *Primary:* Calves (endurance). Continuous jumping (on toes). Cue: “Keep toes pointed, light impact.” Great for conditioning calves. |
| **Hill Sprints / Stair Sprints** | Bodyweight | 1 / 2 / 2 | 4–6 sprints / 4–6 / 6–8 | – | *Primary:* Calves (and legs). Running up incline engages calves forcibly. High intensity, good for fast-twitch calves. |
| **Farmers Walk on Toes** | Dumbbells        | 2 / 2 / 3      | 30–60 s walk    | –     | *Primary:* Calves and entire lower leg. (Carry weight on balls of feet and walk). Cue: “Stand tall, rise onto toes and walk.” Great for overall calf and core stability. |

### Transverse Abdominis (Deep Core, Waist Cinching)

| Exercise                | Equipment            | Sets (B/I/A)  | Reps (B/I/A)  | Rest  | Notes (Primary/Secondary, Goals, Cues)                                              |
|-------------------------|----------------------|---------------|---------------|-------|-------------------------------------------------------------------------------------|
| **Plank**               | Bodyweight           | 3 / 3 / 4     | 30–60 s / 45–60 s / 60–90 s | – | *Primary:* Transverse abdominis, entire core. From prone, hold body straight. Cue: “Pull belly button toward spine.” Keep hips level. Foundation core stability exercise. |
| **Dead Bug**            | Bodyweight           | 2 / 3 / 3     | 10–15 / 10–15 / 10–20 each side | 30 s | *Primary:* Transverse abdominis. Lying on back, lower opposite arm/leg. Cue: “Press low back into floor.” Reinforces lumbo-pelvic control with limb movement. |
| **Pallof Press**        | Cable or band        | 3 / 3 / 4     | 8–12 / 10–12 / 10–15 each side | 30 s | *Primary:* Transverse abdominis (anti-rotation). Stand side-on to anchor, press handle straight out to lockout. Cue: “Brace core, don’t rotate.” Excellent anti-twist core exercise. |
| **Ab Wheel Rollout**    | Ab wheel             | 2 / 3 / 3     | 6–10 / 8–12 / 8–15  | 60 s | *Primary:* Transverse abdominis, rectus. From kneeling, roll wheel forward/return. Cue: “Keep back flat, avoid sagging.” (Avoid if low back issues.) Builds deep core strength. |
| **Stomach Vacuum**      | Bodyweight (standing or kneeling) | 3 / 3 / 4 | 10–15 / 10–15 / 10–20 | – | *Primary:* Transverse abdominis (isometric). Inhale then exhale fully, suck belly button toward spine. Hold for reps. *Cue:* “Think hollow your core.” Improves deep abdominal activation and waist control. |
| **Side Plank (modified)** | Bodyweight        | 2 / 3 / 3     | 20–40 s / 30–45 s / 45–60 s each side | – | *Secondary:* Obliques minimal as it also works TA. Extend from elbow or straight arm. Cue: “Keep hips high, press through forearm.” Builds lateral core stability without heavy oblique bulking. |

### Rectus Abdominis (Front Core, Avoiding Obliques)

| Exercise              | Equipment           | Sets (B/I/A)  | Reps (B/I/A)     | Rest  | Notes (Primary/Secondary, Goals, Cues)                                |
|-----------------------|---------------------|---------------|------------------|-------|-----------------------------------------------------------------------|
| **Crunch (Cable or Floor)** | Cable pulley / Floor mat | 3 / 3 / 4 | 15–20 / 15–20 / 15–25 | 30 s | *Primary:* Rectus abdominis. On floor or kneeling cable crunch. Cue: “Exhale, curl shoulders to pelvis.” Keep movement isolated (no neck pull).  |
| **Hanging Leg Raise (Bent Knees)** | Pull-up bar | 2 / 3 / 3     | 10–15 / 12–15 / 12–20 | 60 s | *Primary:* Lower rectus. Hang and lift knees to chest. Cue: “Use abs, don’t swing.” Controls hip flexor involvement. |
| **Ab Wheel Rollout (kneeling)** | Ab wheel    | 2 / 3 / 3     | 8–12 / 8–12 / 6–10  | 60 s | *Primary:* Rectus (with TA). (See above under TA). Great front-ab core challenge. |
| **Reverse Crunch**     | Bodyweight (floor)| 2 / 3 / 4     | 15–20 / 15–20 / 15–25 | 30 s | *Primary:* Lower rectus. Lying flat, lift pelvis/knees. Cue: “Peel hips off floor using abs.” Keep motion controlled. |
| **Lying Windshield Wipers (legs only)** | Bodyweight | 2 / 2 / 3     | 10–12 / 12–15 / 10–15 (each way) | 60 s | *Primary:* Rectus and deep abs; minimal oblique engagement if legs kept together. Lie supine, raise legs perpendicular, rotate legs side to side in controlled arc. Cue: “Keep shoulders on floor, move only hips.” (Unlike full windshield wipers, this avoids oblique twist.) |
| **Cable Crunch (High Pulley)** | Cable machine | 2 / 3 / 3  | 10–15 / 12–15 / 8–12 | 60 s | *Primary:* Rectus. Kneel facing cable, hold rope at head height, crunch down. Cue: “Curl torso down, keep hips fixed.” Heavier loading possible for hypertrophy. |

### Forearms

| Exercise               | Equipment           | Sets (B/I/A)  | Reps (B/I/A)    | Rest | Notes (Primary/Secondary, Goals, Cues)                                          |
|------------------------|---------------------|---------------|-----------------|------|---------------------------------------------------------------------------------|
| **Barbell Wrist Curl** | Barbell            | 2 / 3 / 3     | 12–15 / 15–20 / 15–20 | 60 s | *Primary:* Forearm flexors (palmaris longus, flexors). Sit with forearms on thighs, palms up, curl bar toward body. Cue: “Roll bar toward forearms.” Builds forearm size. |
| **Reverse Wrist Curl** | Barbell or EZ-bar   | 2 / 3 / 3     | 12–15 / 15–20 / 15–20 | 60 s | *Primary:* Forearm extensors (brachioradialis). (Same position but palms down.) Cue: “Lift knuckles toward forearm.” |
| **Hammer Curl**        | Dumbbells          | 2 / 3 / 4     | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Brachialis, brachioradialis (forearm thickness). (From biceps table.) |
| **Farmer’s Walk**      | Heavy Dumbbells/Trap Bar | 2 / 3 / 3 | 30–60 s walk   | –    | *Primary:* Grip and forearm muscles. (See trap section.) |
| **Towel Pull-Up / Hangs** | Pull-up bar + towel | 2 / 2 / 3     | 10–15 / 10–20 / 15–20 s hang | – | *Primary:* Forearms (grip). Hang or do pull-ups gripping towel slung over bar. Cue: “Grip as tight as possible.” Very taxing on forearm grip strength. |
| **Plate Pinch**       | Weight plates      | 2 / 2 / 3     | 20–30 s hold    | –    | *Primary:* Forearms, grip. Pinch heavy plates together with fingers. Cue: “Pinch and hold tight.” Simple isometric forearm builder. |

*All programming recommendations (sets, reps, rest) are guidelines. Beginners should start at lower end of volume and focus on perfect form. Advanced trainees should use heavier loads, more intensity techniques, and adjust volume for recovery. For hypertrophy, aim for ~8–12 reps, and for strength 3–6 reps with heavier weight.*

# Part B: Goal-Specific Training Programs

Below are example periodized programs for each goal, including splits, weekly schedules, phases (progression over weeks), daily exercise plans with sets×reps×rest, progressive overload rules, advanced techniques, exercises to avoid, and deload strategies.

---

## 1. Aesthetic V-Taper (Wide Shoulders/Back, Narrow Waist)

- **Focus:** Build shoulder width (lateral delts, traps), lat width, and keep waist lean. **Avoid heavy oblique or anterior core loading** (e.g. heavy barbell squats, deadlifts) that increase intra-abdominal pressure and may “thicken” the midsection.
- **Training Split:** 4–5 days with emphasis on upper body width:
  - **Example Split:**  
    - Monday: Shoulders (primary) + Upper Back (lats)  
    - Tuesday: Lower Body (glutes/hamstrings focus, minimal lumbar flexion)  
    - Wednesday: Rest or Active Recovery (light mobility/stretch)  
    - Thursday: Shoulders (again) + Lats/Upper Back  
    - Friday: Chest/Arms (light on abs)  
    - Saturday: Optional Full Back + Core (light)  
    - Sunday: Rest  

- **Weekly Schedule:** E.g., M: Pull/Shoulder, T: Legs, W: Rest, Th: Pull/Shoulder, F: Push, Sa: Full Back/Core, Su: Rest.
- **Phase Structure:**  
  - *Phase 1 (Weeks 1–4):* Foundation (moderate volume). Focus on mastering technique and moderate weights; avoid muscle imbalances.  
  - *Phase 2 (Weeks 5–8):* Progressive overload (increase weight or volume). Introduce intensity techniques (e.g. drop sets on last set of flyes or lateral raises).  
  - *Phase 3 (Weeks 9–12):* Advanced hypertrophy (higher volume/intensity). Add supersets and rest-pause on accessory work.  

- **Daily Workouts (example):**  
  - *Monday (Shoulders/Back):*  
    1. Barbell Overhead Press – 4×6–8 (90 s)  
    2. Pull-Ups (wide grip) – 4×6–10 (90 s)  
    3. Dumbbell Lateral Raise – 3×12–15 (60 s)  
    4. Cable Face Pull – 3×12–15 (60 s)  
    5. Straight-Arm Pulldown – 3×12–15 (60 s)  
    6. Plank – 3×45–60 s (–)  

  - *Thursday (Shoulders/Back):*  
    1. Dumbbell Arnold Press – 4×8–10 (90 s)  
    2. Lat Pulldown (wide grip) – 4×8–12 (90 s)  
    3. Seated Cable Row – 3×8–12 (60 s)  
    4. Dumbbell Rear Delt Fly – 3×12–15 (60 s)  
    5. Hammer Curl – 3×10–12 (60 s)  
    6. Pallof Press – 3×10–12 (each side) (30 s)  

  - *Saturday (Optional Chest/Back/Core):*  
    1. Incline Bench Press – 3×8–12 (90 s)  
    2. T-Bar Row – 3×8–12 (90 s)  
    3. Dumbbell Fly – 2×12–15 (60 s)  
    4. Cable Pull-Through – 3×10–12 (60 s)  
    5. Ab Wheel Rollout – 3×8–10 (60 s)  

  (*Leg days focus on posterior chain and glutes, avoiding heavy squats. For example, Romanian Deadlift, Bulgarian Split Squat, Leg Curl, Glute Bridge, and light calf work.*)

- **Progressive Overload:**  
  - *Phase 1:* Double progression – begin at lower rep (e.g. 6) and add reps each week until top (e.g. 10–12), then increase weight.  
  - *Phase 2:* Linear weight progression on compound lifts (e.g. +2.5–5% each week) while maintaining rep range. Use RPE (Rate of Perceived Exertion) ~7–8 in early sets.  
  - *Phase 3:* Increase total volume (more sets or exercises) and use drop sets/giant sets on last sets of some exercises.  

- **Advanced Techniques:** Supersets (e.g. shoulder press + lateral raise), drop sets on lateral raises or pull-downs, rest-pause on final push-up set, partial reps for wide grip pull-down, mechanical drop (e.g. wide-grip pull-ups to chin-ups). EMOM push-ups for conditioning and core stability.  
- **Avoid:** Heavy barbell squats and deadlifts (they increase intra-abdominal pressure and can “thicken” the waist). Direct oblique-loading exercises (e.g. heavy side bends, twisting crunches) – stick to front-only core moves or anti-rotation drills. As noted by experts, excessive oblique work counteracts a narrow waist aesthetic. Instead, use vacuum exercises and planks for a cinched waist. Heavy overhead press can also widen ribs/trunk; use moderate loads and strict technique.  
- **Deload Strategy:** Every 6–8 weeks take a deload week (reduce volume 50% or intensity 40–60%). For example, cut weights by ~50% but do same exercises with light reps, or halve sets for upper body. Light cardio/stretching can replace heavy lifts. According to ACSM recommendations, even bodybuilders should deload roughly every 6–8 weeks to avoid overtraining.  

*(Sources: ACSM guidelines recommend heavy loads for strength (~80%1RM) and ample volume for hypertrophy. Avoiding oblique hypertrophy is advised for V-taper aesthetics. Sweeping evidence shows training shoulders/back twice weekly is effective for growth.)*

---

## 2. Classic Bodybuilder (Symmetrical Mass)

- **Focus:** Maximize overall muscle hypertrophy with balanced development. Train all muscle groups with variety and high volume. Include both compound and isolation exercises.  
- **Training Split:** 5- or 6-day “bro-split” or upper/lower split to target muscle groups twice per week.  
  - **Example (6-day Push/Pull/Legs):**  
    - Mon: Chest + Abs  
    - Tue: Back + Calves  
    - Wed: Legs (Quads/Glutes) + Abs  
    - Thu: Shoulders + Traps + Abs  
    - Fri: Arms (Biceps/Triceps) + Calves  
    - Sat: Full Body or Weak Point focus + Ab work  
    - Sun: Rest/Active Recovery  

- **Weekly Schedule:** E.g., PPL/rest, repeating twice (6 days) then 1 rest.  
- **Phase Structure:**  
  - *Phase 1 (Weeks 1–4):* Moderate load (8–12 rep range) with high volume (~3–4 exercises per muscle). Establish technique and endurance.  
  - *Phase 2 (Weeks 5–8):* Increase weight or volume (e.g. +1 set per exercise) for progressive overload. Introduce supersets (antagonistic like chest-back) and drop sets on last set of isolation movements.  
  - *Phase 3 (Weeks 9–12):* Peak hypertrophy – use advanced techniques (giant sets, rest-pause) on lagging body parts, vary rep schemes (6–12).  

- **Daily Workouts (example)**:  
  - *Monday (Chest + Abs):* Bench Press 4×8–12; Incline Dumbbell Press 3×8–12; Pec Deck Fly 3×12–15; Cable Crossover 3×12–15; Hanging Leg Raise 3×15–20.  
  - *Tuesday (Back + Calves):* Deadlift 4×5–8; Pull-Up 4×8–12; Barbell Row 3×8–12; Seated Cable Row 3×8–12; Standing Calf Raise 4×15–20.  
  - *Wednesday (Legs + Abs):* Barbell Squat 4×8–12; Leg Press 3×12–15; Lying Leg Curl 3×10–15; Bulgarian Split Squat 3×10 each; Plank 3×60 s.  
  - *Thursday (Shoulders/Traps + Abs):* Overhead Press 4×8–12; Lateral Raise 3×12–15; Face Pull 3×12–15; Dumbbell Shrug 3×10–12; Cable Crunch 3×12–15.  
  - *Friday (Arms + Calves):* Close-Grip Bench Press 3×8–12; EZ-Bar Curl 3×8–12; Skullcrusher 3×10–12; Hammer Curls 3×10–12; Seated Calf Raise 4×15–20.  
  - *Saturday (Weak Point/Full Body):* e.g. Chest flyes, rows, ab-wheel, curls, hip thrust – targeting any lagging areas with 3–4 exercises.  

- **Progressive Overload:** Weekly or bi-weekly increases in weight or reps. Use double progression (hit upper rep range before adding load). Log weights and strive to beat past performance. RPE should reach ~8–9 on final sets. Vary set/rep schemes (periodize 12→8 rep ranges over phases).  
- **Advanced Techniques:** Common in bodybuilding: **Supersets** (agonist/antagonist, e.g. biceps/triceps back-to-back), **Giant Sets** (3+ exercises for same muscle, e.g. chest press→fly→push-up). **Drop Sets** on last set of isolation (dumbbell flies, cable curls) to fully fatigue muscle. **Rest-Pause** sets (brief rests to squeeze extra reps). **Partial reps and burns** at failure. EMOM training occasionally (e.g. 1 chin-up/min) for conditioning.  
- **Avoid:** In general bodybuilding has no strict forbiddances, but safety: avoid ego-lifting (e.g. extremely heavy deadlifts with bad form). Also minimize excessive cardio that can impede muscle gain.  
- **Deload:** Every 4–8 weeks reduce load or volume. For example, take one week to cut sets in half or use ~50% normal weight (as recommended by ACSM practice). Listen to fatigue; signs like persistent soreness or strength loss mean a deload week is due.

*(ACSM guidelines endorse ≥10 weekly sets per muscle group for hypertrophy, consistent with high-volume bodybuilding splits. Advanced techniques boost metabolic stress (some evidence drop sets can increase hypertrophy).)*

---

## 3. Powerlifting / Strength (Squat, Bench, Deadlift Focus)

- **Focus:** Maximize 1RM strength in squat, bench, deadlift. Secondary aim to build overall power and muscle mass. Minimal isolation work; primary on heavy compound lifts.  
- **Training Split:** 3–4 day split concentrating on main lifts multiple times/week. Common splits:  
  - **Example Split (4-day Upper/Lower):**  
    - Monday: Squat-focused lower body  
    - Tuesday: Bench-focused upper body  
    - Thursday: Deadlift-focused lower body  
    - Friday: Overhead Press/Bench upper body  
    - (Wed/Sat/Sun: Rest or light cardio/recovery)  

- **Weekly Schedule:** M: Squat, T: Bench, W: Rest, Th: Deadlift, F: Press, Sa/Su: Rest.  
- **Phase Structure:** Often linear or periodized by 8–12 week blocks. Example:  
  - *Phase 1 (Weeks 1–4):* Volume phase with moderate loads (e.g. 3–5 sets of 5–6 @ ~75%1RM) focusing on technique and accumulating work.  
  - *Phase 2 (Weeks 5–8):* Intensity phase, heavier loads (4–6×2–4 @ 80–90%1RM) for strength.  
  - *Phase 3 (Weeks 9–12):* Peaking phase, singles/doubles at near-PR weights (e.g. 4×1–3 @ 90–95%1RM).  

- **Daily Workouts (example):**  
  - *Monday (Squat Day):*  
    1. Barbell Back Squat – 4×5 @ 75%1RM (120 s)  
    2. Pause Squats – 2×3–5 (paused 2s at bottom) (90 s)  
    3. Leg Press – 3×8–10 (90 s)  
    4. Plank – 3×60 s (–)  

  - *Tuesday (Bench Day):*  
    1. Barbell Bench Press – 4×5 @ 75%1RM (120 s)  
    2. Close-Grip Bench Press – 3×5–8 (90 s)  
    3. Barbell Row – 3×6–8 (90 s)  
    4. Hanging Leg Raise – 3×10 (60 s)  

  - *Thursday (Deadlift Day):*  
    1. Deadlift – 4×3 @ 80%1RM (120–180 s)  
    2. Romanian Deadlift – 3×6–8 (90 s)  
    3. Hamstring Curl – 3×8–12 (60 s)  
    4. Back Extension – 3×10–12 (60 s)  

  - *Friday (Press Day):*  
    1. Overhead Press – 4×5 (90 s)  
    2. Bench Press (Paused or Spoto) – 3×5 (90 s)  
    3. Chin-Up – 3×6–10 (90 s)  
    4. Farmer’s Walk – 2×30–45 s (–)  

- **Progressive Overload:** For powerlifting, linear load increases each session/week on main lifts (e.g. +5 lbs/squat, +5 lbs/bench, +10 lbs/dead per week). Or use **percentage-based** loading (e.g. Squat @ 70%1RM ×3, next week 75%×3, etc.) with planned RPE. Track and aim to break PRs. Typically **RPE/RIR** is used to auto-regulate intensity, aiming for 1–2 rep max sets (RPE9–10). See ACSM: strength focus ~80%1RM and low reps.  
